Neighbourhood,Rank,Safety Score,Assault,Auto Theft,Break and Enter,NonMCI,Robbery,Theft Over,Total Incidents
Trinity-Bellwoods (81),108,76.78,1452,237,824,634,187,97,3431
Stonegate-Queensway (16),109,76.66,1109,675,676,805,158,103,3526
O'Connor-Parkview (54),110,76.0,1582,315,437,676,131,81,3222
Scarborough Village (139),111,75.52,1733,330,428,635,233,54,3413
Malvern East (146),112,75.51,1754,441,283,483,252,51,3264
Kingsview Village-The Westway (6),113,75.35,1340,730,343,773,182,70,3438
Fort York-Liberty Village (163),114,75.31,1505,213,490,428,84,152,2872
Humbermede (22),115,75.12,1450,799,403,466,229,100,3447
High Park North (88),116,74.68,1393,246,549,432,222,57,2899
Humber Summit (21),117,74.47,1393,1141,604,830,278,265,4511
Rockcliffe-Smythe (111),118,72.18,1659,550,442,723,266,96,3736
Agincourt South-Malvern West (128),119,70.56,1513,632,848,817,259,137,4206
Don Valley Village (47),120,70.19,1502,641,527,808,297,134,3909
Downsview (155),121,70.06,1625,694,441,692,217,121,3790
Oakridge (121),122,68.5,2011,196,575,623,293,64,3762
Birchcliffe-Cliffside (122),123,68.34,1907,388,687,894,196,70,4142
Eglinton East (138),124,67.5,2052,398,557,846,356,85,4294
Bendale-Glen Andrew (156),125,66.99,1856,725,368,692,474,136,4251
Golfdale-Cedarbrae-Woburn (141),126,66.94,2147,467,458,713,382,77,4244
Junction-Wallace Emerson (171),127,65.54,1966,333,834,919,236,91,4379
East End-Danforth (62),128,64.68,2091,351,801,917,312,101,4573
Woburn North (142),129,64.42,2086,589,565,907,318,123,4588
Dorset Park (126),130,63.31,1975,753,832,955,329,130,4974
Weston (113),131,61.18,2215,696,560,850,366,70,4757
Rosedale-Moore Park (98),132,60.65,1832,566,932,608,254,147,4339
Newtonbrook West (36),133,60.48,1896,951,578,899,265,144,4733
Black Creek (24),134,59.46,2653,690,332,629,340,124,4768
North St.James Town (74),135,59.08,2405,190,649,908,307,95,4554
Yorkdale-Glen Park (31),136,58.89,1942,1037,870,1089,384,370,5692
Kennedy Park (124),137,57.45,2524,345,480,737,379,100,4565
Harbourfront-CityPlace (165),138,56.87,2323,268,699,748,172,189,4399
South Parkdale (85),139,53.4,2749,272,775,588,242,133,4759
Mount Olive-Silverstone-Jamestown (2),140,51.44,2857,927,323,1027,619,87,5840
Etobicoke City Centre (159),141,50.42,2013,1521,853,1403,285,483,6558
South Riverdale (70),142,48.02,2725,547,1304,1541,394,273,6784
Wexford/Maryvale (119),143,43.72,2665,1136,1011,1416,365,201,6794
Glenfield-Jane Heights (25),144,43.69,3394,954,458,864,430,147,6247
Clairlea-Birchmount (120),145,42.87,3005,718,931,1275,322,149,6400
Oakdale-Beverley Heights (154),146,42.66,3261,1019,620,1032,401,157,6490
Church-Wellesley (167),147,40.53,3589,221,929,786,506,216,6247
St Lawrence-East Bayfront-The Islands (166),148,32.57,3446,262,1063,1117,332,278,6498
West Hill (136),149,29.33,4301,517,848,1184,581,123,7554
Annex (95),150,29.05,3473,440,1824,1646,492,470,8345
Wellington Place (164),151,24.76,4541,462,1542,1209,402,286,8442
York University Heights (27),152,18.79,3948,1759,1505,1915,697,494,10318
Mimico-Queensway (160),153,16.0,4170,454,467,553,112,126,5882
Kensington-Chinatown (78),154,15.27,4631,381,1674,3469,618,374,11147
Yonge-Bay Corridor (170),155,13.97,5310,291,1256,1135,669,483,9144
Downtown Yonge East (168),156,1.67,5531,380,1359,1848,1032,281,10431
West Humber-Clairville (1),157,1.37,3275,5262,1667,3623,789,727,15343
Moss Park (73),158,0.0,6142,414,1735,1726,1173,225,11415
